                                    23 Apr 2013 01:38:07
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-Holodeck



sa
--

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
16 Apr 2013 16:00:00.000     3292.466           1.000000
16 Apr 2013 16:01:00.000     3438.191           1.000000
16 Apr 2013 16:02:00.000     3572.578           1.000000
16 Apr 2013 16:03:00.000     3694.428           1.000000
16 Apr 2013 16:04:00.000     3801.225           1.000000
16 Apr 2013 16:05:00.000     3888.173           1.000000
16 Apr 2013 16:06:00.000     3943.816           1.000000
16 Apr 2013 16:07:00.000     3974.114           1.000000
16 Apr 2013 16:08:00.000     3986.806           1.000000
16 Apr 2013 16:09:00.000     3981.969           1.000000
16 Apr 2013 16:10:00.000     3959.526           1.000000
16 Apr 2013 16:11:00.000     3919.516           1.000000
16 Apr 2013 16:12:00.000     3862.131           1.000000
16 Apr 2013 16:13:00.000     3787.992           1.000000
16 Apr 2013 16:14:00.000     3695.279           1.000000
16 Apr 2013 16:15:00.000     3585.579           1.000000
16 Apr 2013 16:16:00.000     3459.473           1.000000
16 Apr 2013 16:17:00.000     3319.049           1.000000
16 Apr 2013 16:18:00.000     3164.889           1.000000
16 Apr 2013 16:19:00.000     2997.650           1.000000
16 Apr 2013 16:20:00.000     2817.874           1.000000
16 Apr 2013 16:21:00.000     2626.141           1.000000
16 Apr 2013 16:22:00.000     2423.573           1.000000
16 Apr 2013 16:23:00.000     2210.481           1.000000
16 Apr 2013 16:24:00.000     1987.444           1.000000
16 Apr 2013 16:25:00.000     1755.894           1.000000
16 Apr 2013 16:26:00.000     1515.522           1.000000
16 Apr 2013 16:27:00.000     1268.262           1.000000
16 Apr 2013 16:28:00.000     1015.236           1.000000
16 Apr 2013 16:29:00.000      757.258           1.000000
16 Apr 2013 16:30:00.000      495.797           1.000000
16 Apr 2013 16:31:00.000      232.440           1.000000
16 Apr 2013 16:32:00.000       32.310           1.000000
16 Apr 2013 16:33:00.000      296.673           1.000000
16 Apr 2013 16:34:00.000        0.000           0.000000
16 Apr 2013 16:35:00.000        0.000           0.000000
16 Apr 2013 16:36:00.000        0.000           0.000000
16 Apr 2013 16:37:00.000        0.000           0.000000
16 Apr 2013 16:38:00.000        0.000           0.000000
16 Apr 2013 16:39:00.000        0.000           0.000000
16 Apr 2013 16:40:00.000        0.000           0.000000
16 Apr 2013 16:41:00.000        0.000           0.000000
16 Apr 2013 16:42:00.000        0.000           0.000000
16 Apr 2013 16:43:00.000        0.000           0.000000
16 Apr 2013 16:44:00.000        0.000           0.000000
16 Apr 2013 16:45:00.000        0.000           0.000000
16 Apr 2013 16:46:00.000        0.000           0.000000
16 Apr 2013 16:47:00.000        0.000           0.000000
16 Apr 2013 16:48:00.000        0.000           0.000000
16 Apr 2013 16:49:00.000        0.000           0.000000
16 Apr 2013 16:50:00.000        0.000           0.000000
16 Apr 2013 16:51:00.000        0.000           0.000000
16 Apr 2013 16:52:00.000        0.000           0.000000
16 Apr 2013 16:53:00.000        0.000           0.000000
16 Apr 2013 16:54:00.000        0.000           0.000000
16 Apr 2013 16:55:00.000        0.000           0.000000
16 Apr 2013 16:56:00.000        0.000           0.000000
16 Apr 2013 16:57:00.000        0.000           0.000000
16 Apr 2013 16:58:00.000        0.000           0.000000
16 Apr 2013 16:59:00.000        0.000           0.000000
16 Apr 2013 17:00:00.000        0.000           0.000000
16 Apr 2013 17:01:00.000        0.000           0.000000
16 Apr 2013 17:02:00.000        0.000           0.000000
16 Apr 2013 17:03:00.000        0.000           0.000000
16 Apr 2013 17:04:00.000        0.000           0.000000
16 Apr 2013 17:05:00.000        0.000           0.000000
16 Apr 2013 17:06:00.000        0.000           0.000000
16 Apr 2013 17:07:00.000        0.000           0.000000
16 Apr 2013 17:08:00.000     2697.030           1.000000
16 Apr 2013 17:09:00.000     2496.397           1.000000
16 Apr 2013 17:10:00.000     2284.775           1.000000
16 Apr 2013 17:11:00.000     2062.744           1.000000
16 Apr 2013 17:12:00.000     1831.891           1.000000
16 Apr 2013 17:13:00.000     1593.182           1.000000
16 Apr 2013 17:14:00.000     1345.884           1.000000
16 Apr 2013 17:15:00.000     1092.239           1.000000
16 Apr 2013 17:16:00.000      833.293           1.000000
16 Apr 2013 17:17:00.000      572.413           1.000000
16 Apr 2013 17:18:00.000      310.758           1.000000
16 Apr 2013 17:19:00.000       49.878           1.000000
16 Apr 2013 17:20:00.000      209.029           1.000000
16 Apr 2013 17:21:00.000      464.261           1.000000
16 Apr 2013 17:22:00.000      715.390           1.000000
16 Apr 2013 17:23:00.000      960.831           1.000000
16 Apr 2013 17:24:00.000     1201.165           1.000000
16 Apr 2013 17:25:00.000     1434.533           1.000000
16 Apr 2013 17:26:00.000     1661.130           1.000000
16 Apr 2013 17:27:00.000     1880.840           1.000000
16 Apr 2013 17:28:00.000     2092.926           1.000000
16 Apr 2013 17:29:00.000     2297.196           1.000000
16 Apr 2013 17:30:00.000     2492.760           1.000000
16 Apr 2013 17:31:00.000     2681.861           1.000000
16 Apr 2013 17:32:00.000     2861.521           1.000000
16 Apr 2013 17:33:00.000     3032.359           1.000000
16 Apr 2013 17:34:00.000     3194.220           1.000000
16 Apr 2013 17:35:00.000     3346.019           1.000000
16 Apr 2013 17:36:00.000     3487.333           1.000000
16 Apr 2013 17:37:00.000     3617.386           1.000000
16 Apr 2013 17:38:00.000     3733.896           1.000000
16 Apr 2013 17:39:00.000     3834.426           1.000000
16 Apr 2013 17:40:00.000     3911.235           1.000000
16 Apr 2013 17:41:00.000     3955.424           1.000000
16 Apr 2013 17:42:00.000     3979.222           1.000000
16 Apr 2013 17:43:00.000     3985.142           1.000000
16 Apr 2013 17:44:00.000     3973.572           1.000000
16 Apr 2013 17:45:00.000     3944.242           1.000000
16 Apr 2013 17:46:00.000     3898.349           1.000000
16 Apr 2013 17:47:00.000     3834.774           1.000000
16 Apr 2013 17:48:00.000     3753.670           1.000000
16 Apr 2013 17:49:00.000     3653.992           1.000000
16 Apr 2013 17:50:00.000     3537.868           1.000000
16 Apr 2013 17:51:00.000     3406.499           1.000000
16 Apr 2013 17:52:00.000     3260.891           1.000000
16 Apr 2013 17:53:00.000     3101.932           1.000000
16 Apr 2013 17:54:00.000     2930.050           1.000000
16 Apr 2013 17:55:00.000     2745.901           1.000000
16 Apr 2013 17:56:00.000     2549.796           1.000000
16 Apr 2013 17:57:00.000     2343.398           1.000000
16 Apr 2013 17:58:00.000     2126.823           1.000000
16 Apr 2013 17:59:00.000     1900.419           1.000000
16 Apr 2013 18:00:00.000     1665.387           1.000000
16 Apr 2013 18:01:00.000     1422.770           1.000000
16 Apr 2013 18:02:00.000     1173.305           1.000000
16 Apr 2013 18:03:00.000      918.538           1.000000
16 Apr 2013 18:04:00.000      659.050           1.000000
16 Apr 2013 18:05:00.000      396.932           1.000000
16 Apr 2013 18:06:00.000      131.214           1.000000
16 Apr 2013 18:07:00.000      131.640           1.000000
16 Apr 2013 18:08:00.000        0.000           0.000000
16 Apr 2013 18:09:00.000        0.000           0.000000
16 Apr 2013 18:10:00.000        0.000           0.000000
16 Apr 2013 18:11:00.000        0.000           0.000000
16 Apr 2013 18:12:00.000        0.000           0.000000
16 Apr 2013 18:13:00.000        0.000           0.000000
16 Apr 2013 18:14:00.000        0.000           0.000000
16 Apr 2013 18:15:00.000        0.000           0.000000
16 Apr 2013 18:16:00.000        0.000           0.000000
16 Apr 2013 18:17:00.000        0.000           0.000000
16 Apr 2013 18:18:00.000        0.000           0.000000
16 Apr 2013 18:19:00.000        0.000           0.000000
16 Apr 2013 18:20:00.000        0.000           0.000000
16 Apr 2013 18:21:00.000        0.000           0.000000
16 Apr 2013 18:22:00.000        0.000           0.000000
16 Apr 2013 18:23:00.000        0.000           0.000000
16 Apr 2013 18:24:00.000        0.000           0.000000
16 Apr 2013 18:25:00.000        0.000           0.000000
16 Apr 2013 18:26:00.000        0.000           0.000000
16 Apr 2013 18:27:00.000        0.000           0.000000
16 Apr 2013 18:28:00.000        0.000           0.000000
16 Apr 2013 18:29:00.000        0.000           0.000000
16 Apr 2013 18:30:00.000        0.000           0.000000
16 Apr 2013 18:31:00.000        0.000           0.000000
16 Apr 2013 18:32:00.000        0.000           0.000000
16 Apr 2013 18:33:00.000        0.000           0.000000
16 Apr 2013 18:34:00.000        0.000           0.000000
16 Apr 2013 18:35:00.000        0.000           0.000000
16 Apr 2013 18:36:00.000        0.000           0.000000
16 Apr 2013 18:37:00.000        0.000           0.000000
16 Apr 2013 18:38:00.000        0.000           0.000000
16 Apr 2013 18:39:00.000        0.000           0.000000
16 Apr 2013 18:40:00.000        0.000           0.000000
16 Apr 2013 18:41:00.000        0.000           0.000000
16 Apr 2013 18:42:00.000      385.313           0.136882
16 Apr 2013 18:43:00.000     2621.691           1.000000
16 Apr 2013 18:44:00.000     2416.957           1.000000
16 Apr 2013 18:45:00.000     2201.581           1.000000
16 Apr 2013 18:46:00.000     1975.913           1.000000
16 Apr 2013 18:47:00.000     1743.047           1.000000
16 Apr 2013 18:48:00.000     1500.508           1.000000
16 Apr 2013 18:49:00.000     1250.849           1.000000
16 Apr 2013 18:50:00.000      994.651           1.000000
16 Apr 2013 18:51:00.000      735.898           1.000000
16 Apr 2013 18:52:00.000      473.896           1.000000
16 Apr 2013 18:53:00.000      212.396           1.000000
16 Apr 2013 18:54:00.000       47.672           1.000000
16 Apr 2013 18:55:00.000      305.031           1.000000
16 Apr 2013 18:56:00.000      558.831           1.000000
16 Apr 2013 18:57:00.000      807.755           1.000000
16 Apr 2013 18:58:00.000     1051.222           1.000000
16 Apr 2013 18:59:00.000     1288.538           1.000000
16 Apr 2013 19:00:00.000     1519.469           1.000000
16 Apr 2013 19:01:00.000     1743.473           1.000000
16 Apr 2013 19:02:00.000     1960.048           1.000000
16 Apr 2013 19:03:00.000     2169.194           1.000000
16 Apr 2013 19:04:00.000     2370.368           1.000000
16 Apr 2013 19:05:00.000     2563.533           1.000000
16 Apr 2013 19:06:00.000     2748.378           1.000000
16 Apr 2013 19:07:00.000     2924.710           1.000000
16 Apr 2013 19:08:00.000     3091.988           1.000000
16 Apr 2013 19:09:00.000     3249.979           1.000000
16 Apr 2013 19:10:00.000     3398.025           1.000000
16 Apr 2013 19:11:00.000     3535.160           1.000000
16 Apr 2013 19:12:00.000     3660.221           1.000000
16 Apr 2013 19:13:00.000     3771.082           1.000000
16 Apr 2013 19:14:00.000     3863.988           1.000000
16 Apr 2013 19:15:00.000     3929.731           1.000000
16 Apr 2013 19:16:00.000     3964.556           1.000000
16 Apr 2013 19:17:00.000     3981.737           1.000000
16 Apr 2013 19:18:00.000     3981.195           1.000000
16 Apr 2013 19:19:00.000     3963.009           1.000000
16 Apr 2013 19:20:00.000     3926.751           1.000000
16 Apr 2013 19:21:00.000     3874.475           1.000000
16 Apr 2013 19:22:00.000     3804.592           1.000000
16 Apr 2013 19:23:00.000     3716.252           1.000000
16 Apr 2013 19:24:00.000     3610.383           1.000000
16 Apr 2013 19:25:00.000     3488.339           1.000000
16 Apr 2013 19:26:00.000     3351.630           1.000000
16 Apr 2013 19:27:00.000     3201.030           1.000000
16 Apr 2013 19:28:00.000     3037.157           1.000000
16 Apr 2013 19:29:00.000     2860.748           1.000000
16 Apr 2013 19:30:00.000     2672.497           1.000000
16 Apr 2013 19:31:00.000     2472.561           1.000000
16 Apr 2013 19:32:00.000     2261.868           1.000000
16 Apr 2013 19:33:00.000     2041.888           1.000000
16 Apr 2013 19:34:00.000     1812.350           1.000000
16 Apr 2013 19:35:00.000     1574.261           1.000000
16 Apr 2013 19:36:00.000     1329.206           1.000000
16 Apr 2013 19:37:00.000     1077.845           1.000000
16 Apr 2013 19:38:00.000      821.027           1.000000
16 Apr 2013 19:39:00.000      560.804           1.000000
16 Apr 2013 19:40:00.000      297.873           1.000000
16 Apr 2013 19:41:00.000       33.587           1.000000
16 Apr 2013 19:42:00.000      230.892           1.000000
16 Apr 2013 19:43:00.000        0.000           0.000000
16 Apr 2013 19:44:00.000        0.000           0.000000
16 Apr 2013 19:45:00.000        0.000           0.000000
16 Apr 2013 19:46:00.000        0.000           0.000000
16 Apr 2013 19:47:00.000        0.000           0.000000
16 Apr 2013 19:48:00.000        0.000           0.000000
16 Apr 2013 19:49:00.000        0.000           0.000000
16 Apr 2013 19:50:00.000        0.000           0.000000
16 Apr 2013 19:51:00.000        0.000           0.000000
