                                    06 May 2013 03:05:05
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-Holodeck



sa
--

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
21 Sep 2013 16:00:00.000      955.864           1.000000
21 Sep 2013 16:01:00.000      924.658           1.000000
21 Sep 2013 16:02:00.000      890.645           1.000000
21 Sep 2013 16:03:00.000      854.661           1.000000
21 Sep 2013 16:04:00.000      815.604           1.000000
21 Sep 2013 16:05:00.000      772.904           1.000000
21 Sep 2013 16:06:00.000      726.997           1.000000
21 Sep 2013 16:07:00.000      678.116           1.000000
21 Sep 2013 16:08:00.000      626.061           1.000000
21 Sep 2013 16:09:00.000      571.133           1.000000
21 Sep 2013 16:10:00.000      514.100           1.000000
21 Sep 2013 16:11:00.000      454.728           1.000000
21 Sep 2013 16:12:00.000      393.719           1.000000
21 Sep 2013 16:13:00.000      330.805           1.000000
21 Sep 2013 16:14:00.000      266.422           1.000000
21 Sep 2013 16:15:00.000        0.000           0.000000
21 Sep 2013 16:16:00.000        0.000           0.000000
21 Sep 2013 16:17:00.000        0.000           0.000000
21 Sep 2013 16:18:00.000        0.000           0.000000
21 Sep 2013 16:19:00.000        0.000           0.000000
21 Sep 2013 16:20:00.000        0.000           0.000000
21 Sep 2013 16:21:00.000        0.000           0.000000
21 Sep 2013 16:22:00.000        0.000           0.000000
21 Sep 2013 16:23:00.000        0.000           0.000000
21 Sep 2013 16:24:00.000        0.000           0.000000
21 Sep 2013 16:25:00.000        0.000           0.000000
21 Sep 2013 16:26:00.000        0.000           0.000000
21 Sep 2013 16:27:00.000        0.000           0.000000
21 Sep 2013 16:28:00.000        0.000           0.000000
21 Sep 2013 16:29:00.000        0.000           0.000000
21 Sep 2013 16:30:00.000        0.000           0.000000
21 Sep 2013 16:31:00.000        0.000           0.000000
21 Sep 2013 16:32:00.000        0.000           0.000000
21 Sep 2013 16:33:00.000        0.000           0.000000
21 Sep 2013 16:34:00.000        0.000           0.000000
21 Sep 2013 16:35:00.000        0.000           0.000000
21 Sep 2013 16:36:00.000        0.000           0.000000
21 Sep 2013 16:37:00.000        0.000           0.000000
21 Sep 2013 16:38:00.000        0.000           0.000000
21 Sep 2013 16:39:00.000        0.000           0.000000
21 Sep 2013 16:40:00.000        0.000           0.000000
21 Sep 2013 16:41:00.000        0.000           0.000000
21 Sep 2013 16:42:00.000        0.000           0.000000
21 Sep 2013 16:43:00.000        0.000           0.000000
21 Sep 2013 16:44:00.000        0.000           0.000000
21 Sep 2013 16:45:00.000        0.000           0.000000
21 Sep 2013 16:46:00.000        0.000           0.000000
21 Sep 2013 16:47:00.000        0.000           0.000000
21 Sep 2013 16:48:00.000        0.000           0.000000
21 Sep 2013 16:49:00.000        0.000           0.000000
21 Sep 2013 16:50:00.000      709.119           0.852161
21 Sep 2013 16:51:00.000      794.755           1.000000
21 Sep 2013 16:52:00.000      753.058           1.000000
21 Sep 2013 16:53:00.000      709.422           1.000000
21 Sep 2013 16:54:00.000      661.878           1.000000
21 Sep 2013 16:55:00.000      611.360           1.000000
21 Sep 2013 16:56:00.000      558.002           1.000000
21 Sep 2013 16:57:00.000      502.372           1.000000
21 Sep 2013 16:58:00.000      444.170           1.000000
21 Sep 2013 16:59:00.000      384.163           1.000000
21 Sep 2013 17:00:00.000      322.386           1.000000
21 Sep 2013 17:01:00.000      258.470           1.000000
21 Sep 2013 17:02:00.000      194.220           1.000000
21 Sep 2013 17:03:00.000      128.667           1.000000
21 Sep 2013 17:04:00.000       63.114           1.000000
21 Sep 2013 17:05:00.000        3.341           1.000000
21 Sep 2013 17:06:00.000       69.663           1.000000
21 Sep 2013 17:07:00.000      135.817           1.000000
21 Sep 2013 17:08:00.000      201.002           1.000000
21 Sep 2013 17:09:00.000      265.453           1.000000
21 Sep 2013 17:10:00.000      329.168           1.000000
21 Sep 2013 17:11:00.000      393.986           1.000000
21 Sep 2013 17:12:00.000      459.539           1.000000
21 Sep 2013 17:13:00.000      525.660           1.000000
21 Sep 2013 17:14:00.000      591.414           1.000000
21 Sep 2013 17:15:00.000      655.196           1.000000
21 Sep 2013 17:16:00.000      720.047           1.000000
21 Sep 2013 17:17:00.000      786.101           1.000000
21 Sep 2013 17:18:00.000      847.712           1.000000
21 Sep 2013 17:19:00.000      904.177           1.000000
21 Sep 2013 17:20:00.000      953.559           1.000000
21 Sep 2013 17:21:00.000      983.763           1.000000
21 Sep 2013 17:22:00.000     1009.790           1.000000
21 Sep 2013 17:23:00.000     1031.340           1.000000
21 Sep 2013 17:24:00.000     1047.979           1.000000
21 Sep 2013 17:25:00.000     1060.676           1.000000
21 Sep 2013 17:26:00.000     1068.193           1.000000
21 Sep 2013 17:27:00.000     1070.632           1.000000
21 Sep 2013 17:28:00.000     1068.561           1.000000
21 Sep 2013 17:29:00.000     1062.446           1.000000
21 Sep 2013 17:30:00.000     1052.824           1.000000
21 Sep 2013 17:31:00.000     1038.791           1.000000
21 Sep 2013 17:32:00.000     1020.749           1.000000
21 Sep 2013 17:33:00.000      998.631           1.000000
21 Sep 2013 17:34:00.000      972.436           1.000000
21 Sep 2013 17:35:00.000      943.469           1.000000
21 Sep 2013 17:36:00.000      911.294           1.000000
21 Sep 2013 17:37:00.000      876.546           1.000000
21 Sep 2013 17:38:00.000      839.660           1.000000
21 Sep 2013 17:39:00.000      799.098           1.000000
21 Sep 2013 17:40:00.000      755.229           1.000000
21 Sep 2013 17:41:00.000      708.220           1.000000
21 Sep 2013 17:42:00.000      658.069           1.000000
21 Sep 2013 17:43:00.000      604.878           1.000000
21 Sep 2013 17:44:00.000      549.583           1.000000
21 Sep 2013 17:45:00.000      491.480           1.000000
21 Sep 2013 17:46:00.000      431.273           1.000000
21 Sep 2013 17:47:00.000      369.596           1.000000
